Gene_ID	Chromosome	Raw_Count	Gene_Length_bp	RPM	RPKM
ENSG00000279442	22	39.0	6179	15.483766461923631	2.505869309260986
ENSG00000226444	22;22	0.0	1369	0.0	0.0
ENSG00000236235	22;22;22;22;22	0.0	6479	0.0	0.0
ENSG00000288262	22;22;22	210.0	4900	83.37412710266571	17.01512798013586
ENSG00000236097	22	7.0	577	2.779137570088857	4.816529584209458
ENSG00000184624	22;22;22	468.0	17029	185.80519754308358	10.911104442015596
ENSG00000229286	22	0.0	121	0.0	0.0
ENSG00000280341	22	51.0	6114	20.248002296361673	3.311743915008452
ENSG00000233866	22;22	1.0	1080	0.3970196528698367	0.3676107896942932
ENSG00000099917	22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22	5829.0	91720	2314.227556578278	25.231438689252926
ENSG00000280025	22	0.0	4254	0.0	0.0
ENSG00000279848	22	0.0	1315	0.0	0.0
ENSG00000214526	22	3075.0	385	1220.835432574748	3171.0011235707734
ENSG00000099985	22;22;22;22;22;22;22;22	8.0	4023	3.1761572229586936	0.7894996825649252
ENSG00000235786	22;22	1.0	25900	0.3970196528698367	0.015328944126248521
ENSG00000231405	22;22	0.0	16401	0.0	0.0
ENSG00000234891	22;22;22	0.0	1760	0.0	0.0
ENSG00000100365	22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22	4.0	17030	1.5880786114793468	0.09325182686314426
ENSG00000235485	22	18.0	2194	7.1463537516570605	3.2572259579111495
ENSG00000100346	22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22	71.0	118983	28.188395353758406	0.2369111163255121
ENSG00000232464	22;22	7.0	24453	2.779137570088857	0.11365221322900491
ENSG00000279440	22	3.0	5182	1.1910589586095102	0.22984541848890583
ENSG00000279699	22	23.0	1737	9.131452016006243	5.257024764540152
ENSG00000175329	22;22;22;22;22;22;22;22;22	17.0	21252	6.749334098787224	0.317585831864635
ENSG00000234979	22;22;22	0.0	3411	0.0	0.0
ENSG00000268812	22	0.0	794	0.0	0.0
ENSG00000176177	22;22;22;22;22;22;22;22;22	8.0	150821	3.1761572229586936	0.021059117914340134
ENSG00000128342	22;22;22;22;22	7.0	6307	2.779137570088857	0.4406433439176878
ENSG00000100307	22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22	147.0	32514	58.361888971865994	1.7949772089520204
ENSG00000100344	22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22	37.0	40697	14.689727156183958	0.3609535630681367
ENSG00000286801	22;22	9.0	5904	3.5731768758285303	0.605212885472312
ENSG00000232050	22	0.0	144	0.0	0.0
ENSG00000186976	22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22	26.0	283594	10.322510974615755	0.036398904682806245
